,name,description,lat,lng,hostname,metrics,launch_year,country,continent,harvesting_sets,gdcc_member,doi_authority,contact_email,dv_hub_id,about_url,core_trust_seals,board,url
10,bonndata,"bonndata is a state-of-the-art, cross-disciplinary research data repository designed for scientists at the University of Bonn. The repository is an integral part of the University of Bonn's research infrastructure and it is maintained by the Research Data Service Center, which offers a range of services to help researchers manage their data throughout the research lifecycle.",50.72894416,7.088606727,bonndata.uni-bonn.de,True,2023,Germany,Europe,,0.0,,szerr@uni-bonn.de,12036F68-18DB-4E2D-8B78-4A0DC196F39C,,,,https://bonndata.uni-bonn.de
11,Borealis,Open for researchers and organizations associated with subscribing Canadian universities to deposit data.,43.6532,-79.3832,borealisdata.ca,True,2012,Canada,North America,['sp_dataverse'],1.0,10.5683,dataverse@scholarsportal.info,162792C0-6C7B-415A-B70C-B0A02773DF20,https://borealisdata.ca/about/,['https://doi.org/10.34894/PUHYXX'],https://github.com/orgs/IQSS/projects/8,https://borealisdata.ca
12,Botswana Harvard Data,"The Botswana Harvard AIDS Institute Partneship is a world-renowned educational institution of excellence in research and education pertinent to HIV/AIDS and other emerging public health challenges. Established in 1996, the Botswana Harvard AIDS Institute Partnership (BHP) is a collaborative research and training initiative between Botswana’s Ministry of Health and Wellness and the Harvard T.H. Chan School of Public Health AIDS Initiative. The BHP Dataverse is a data repository for all the research done at BHP. Raw data, anonymised data and final analysis data for every research. This repository will achieve and also easy data sharing within the organisation and outside.",-24.653257,25.906792,dataverse.bhp.org.bw,True,2019,Botswana,Africa,,0.0,∅,,1709ECC8-0AB5-4831-BF75-FC600EBF492D,,,,https://dataverse.bhp.org.bw
13,BRIN Dataverse,"The Repositori Ilmiah Nasional (RIN) is a means to share, preserve, cite, explore, and analyze research data. RIN increases data availability and allows others to reproduce research more easily. Researchers, data authors, publishers, data distributors, and affiliate institutions all receive academic credit and web visibility. Researchers, agencies, and funders have full control over research data.",-6.228771,106.818082,data.brin.go.id,True,2018,Indonesia,Asia,,0.0,,rin@brin.go.id,180DF962-02CC-4B79-85EB-888BEE8F4A63,,,,https://data.brin.go.id
14,BSC Dataverse,"The BSC Dataverse is the institutional research data and metadata repository of the Barcelona Supercomputing Center - Centro Nacional de Supercomputación (BSC-CNS). It seeks to enable the storage, sharing, and search of research data coming from the BSC researchers, collaborators, and affiliated projects.",41.3901012,2.114820641,dataverse.bsc.es,,2025,Spain,Europe,,0.0,,datamanagement@bsc.es,D16109AC-CC5A-4040-B18C-D815FD5D67B8,,,,https://dataverse.bsc.es
15,Centro Brasileiro de Pesquisas Físicas - CBPF,Brazilian Center for Research in Physics,-22.954204,-43.1734987,dataverse.cbpf.br,True,2021,Brazil,South America,,0.0,10.8037,lab3i@cbpf.br,1BCBABA5-9525-41C8-B97E-93F3DD64BC1F,,,,https://dataverse.cbpf.br
16,CESA | Repositorio de datos académicos,"Discover the data on entrepreneurship projects, innovation plans, digital transformation proposals, consumers, and financial markets. Also, explore research on business, management, and entrepreneurship research development at our Business school.",4.621920153,-74.06522592,opendata.cesa.edu.co,True,2023,Colombia,South America,,0.0,10.5713,biblioteca@cesa.edu.co,1D7C0988-23AF-4601-8BF0-CB756CEC2E21,,,,https://opendata.cesa.edu.co
17,CIDACS,Fiocruz-BA data repository publishes epidemiological data and research from all over Brazil,-12.922964,-38.387918,dataverse.cidacs.org,True,2020,Brazil,South America,,0.0,,curadoriadata@gmail.com,2244D814-5DA6-4B3F-9C03-6518187928BA,,,,https://dataverse.cidacs.org
18,CIFOR,Center for International Forestry Research (CIFOR) Dataverse,-6.594293,106.806,data.cifor.org,True,2015,Indonesia,Asia,['cifor_general'],0.0,10.17528,cifor-rdm-support@cgiar.org,22E84818-90ED-4663-B002-6EDAF27F71CE,,,,https://data.cifor.org
19,CIMMYT Research Data,"Free, open access repository of research data and software produced and developed by CIMMYT scientists.",19.531535,-98.846064,data.cimmyt.org,True,2016,Mexico,North America,"['cimmytdatadvn', 'cimmytswdvn', 'iwypdvn']",0.0,␕,J.HERRERA@cgiar.org,232FF393-29CB-4CB6-B2F8-344206F4EA15,,,,https://data.cimmyt.org
20,CIRAD Dataverse,"Organisme français de recherche agronomique et de coopération internationale pour le développement durable des régions tropicales et méditerranéennes, les activités du CIRAD relèvent des sciences du vivant, des sciences sociales et des sciences de l’ingénieur appliquées à l’agriculture, à l’alimentFrench agricultural research and international cooperation organization working for the sustainable development of tropical and Mediterranean regions, CIRAD's activities concern the life sciences, social sciences and engineering sciences, applied to agriculture, the environment and territorial management.",43.650089,3.869122,dataverse.cirad.fr,True,2018,France,Europe,,0.0,10.18167,dataverse@cirad.fr,24E58B30-4AB4-48DD-A860-FF92AAF4CC94,,,https://github.com/orgs/IQSS/projects/29,https://dataverse.cirad.fr
21,CORA. Research Data Repository (RDR),"CORA. Research Data Repository (RDR) is a federated and multidisciplinary data repository that allows Catalan universities, CERCA research centers and other entities that carry out research to publish research datasets in FAIR mode and following the EOSC guidelines. The objectives of the RDR are to increase the efficiency and transparency of research through the rapid dissemination of datasets and to facilitate their reuse.",41.38745982,2.112077304,dataverse.csuc.cat,True,2021,Spain,Europe,,1.0,10.3481,rdr-contacte@csuc.cat,26523886-D0AB-4B0A-977B-1425FCC7E8DF,https://dataverse.csuc.cat/about.xhtml,,,https://dataverse.csuc.cat
22,CoronaWhy Dataverse,"Research data repository of the CoronaWhy, globally distributed, volunteer-powered research organisation, trying to assist the medical community’s ability to answer key questions related to COVID-19 and Monkeypox.",52.0705,4.3007,datasets.coronawhy.org,,2020,Netherlands,Europe,,0.0,,team@coronawhy.org,276F55BD-C3F4-4985-8B80-50B368200292,,,,https://datasets.coronawhy.org
23,CROSSDA,The Croatian Social Science Data Archive (CROSSDA) is a national infrastructure public service whose role is to ensure the long-term preservation and dissemination of social science research data.,45.79641,15.97162,data.crossda.hr,True,2020,Croatia,Europe,,0.0,10.23669,mglavica@ffzg.hr,2AADDB90-FD26-4C8B-A799-B647A95BB527,https://www.crossda.hr/,,,https://data.crossda.hr
24,CUHK Research Data Repository,The CUHK Research Data Repository serves as an institutional research data repository for The Chinese University of Hong Kong (CUHK). It facilitates CUHK researchers to deposit their research data and for the worldwide to explore the research data outputs at CUHK.,22.41984318,114.2067606,researchdata.cuhk.edu.hk,True,2021,Hong Kong,Asia,,0.0,10.48668,data@cuhk.edu.hk,2B2A340B-CE4A-4B14-8E99-3CB7867D3E70,,,,https://researchdata.cuhk.edu.hk
25,DADOS IPB,"The data repository of the Instituto Politécnico de Bragança aims to store, preserve, share and manage research data generated by the academic community.",41.79757745,-6.767712402,dados.ipb.pt,True,2022,Portugal,Europe,,0.0,,dados@ipb.pt,2C53FDB4-303D-4F7A-B236-247D92E69B6F,,,,https://dados.ipb.pt
26,Dane Badawcze UW,"Dane Badawcze UW - University of Warsaw Research Data Repository allows free and long-term archiving and open sharing of research data from all scientific disciplines, including data produced as part of research conducted at the University of Warsaw or in collaboration with the university.",52.19247091,21.02191503,danebadawcze.uw.edu.pl,,2023,Poland,Europe,,0.0,10.58132,danebadawczeuw@icm.edu.pl,2D4CEFE4-9179-4349-920C-04D6F97C316A,,,,https://danebadawcze.uw.edu.pl
27,DANS Data Station Archaeology,"DANS has launched the Data Station Archeology for the Dutch archaeological research community interested in storing, finding, sharing and publishing their data online. iggest advantages: the large amount of easily searchable data, support for all Creative Commons licenses, the possibility of version control, working with living data and sharing with others.",52.0705,4.3007,archaeology.datastations.nl,True,2022,Netherlands,Europe,,0.0,,info@dataverse.nl,2E499092-F6A2-4C5F-8F28-6ECCC9CCCD37,,,,https://archaeology.datastations.nl
28,DANS Data Station Life Sciences,"Domain-specific data repository for the Life Sciences, covering all disciplines from the health, medical as well as the green life sciences. This repository primarily serves research communities in The Netherlands, but is open to international researchers and projects that carry a connection to The Netherlands or Dutch research institutes and programmes.",52.08083,4.345672,lifesciences.datastations.nl,True,2023,Netherlands,Europe,,0.0,10.17026,info@dans.knaw.nl,305298B4-F80D-4417-BDDF-2B5E1840B60E,,,,https://lifesciences.datastations.nl
29,DANS Data Station Physical and Technical Sciences,"Domain-specific data repository for research data from the Physical and Technical sciences. This repository focuses on the Dutch research community, offering repository services to organisations and individuals that have no (direct) acces to an institutional repository, or have a preference for the multi-disciplinary data services provided by DANS.",52.0705,4.3007,phys-techsciences.datastations.nl,True,2023,Netherlands,Europe,,0.0,10.17026, info@dans.knaw.nl,3077971C-1522-4D7C-AF5C-DD1120EA2E24,,,,https://phys-techsciences.datastations.nl
30,DANS Data Station Social Sciences and Humanities,The Data Station Social Sciences and Humanities is a service of DANS. It allows you to deposit and search for data within the social sciences and humanities.,52.0705,4.3007,ssh.datastations.nl,True,2023,Netherlands,Europe,,0.0,10.17026,info@dans.knaw.nl,309FE101-B4BD-4814-A7D1-92A5DF83FAEA,,,,https://ssh.datastations.nl
31,dare,/dare/ (short for data repository) is the central institutional repository for research data at the Carl von Ossietzky University of Oldenburg. It serves as a platform for research data generated at the University or created in its context. All users affiliated with the University are welcome to upload their research data here.,53.1468491,8.183134727,dare.uol.de,True,2022,Germany,Europe,,0.0,10.57782,fdm-support@uol.de,341CC470-986F-422A-A3AF-647D6ECE18D4,,,,https://dare.uol.de
32,Dartmouth Dataverse,,43.704448,-72.288715,dataverse.dartmouth.edu,True,2020,USA,North America,,0.0,,,34E23D94-1B94-4C6D-ACD0-BDA11DF38772,,,,https://dataverse.dartmouth.edu
33,DaRUS,"DaRUS, the data repository of the University of Stuttgart, offers a secure location for research data and codes of members or partners of the University of Stuttgart. DaRUS is used not only for publishing finished data, but also for managing and exchanging data at all stages of the lifecycle.",48.781647,9.172552,darus.uni-stuttgart.de,True,2019,Germany,Europe,,1.0,10.18419,fokus@izus.uni-stuttgart.de,35AE7E88-7108-485B-8541-2135D22E499D,https://www.izus.uni-stuttgart.de/en/fokus/darus/,,,https://darus.uni-stuttgart.de
34,Data Suds,"Hosted by IRD, a french public research institution, who defends an original model of equitable scientific partnership with the countries of the South and an interdisciplinary and citizen science, committed to the achievement of the Sustainable Development Goals.",43.309873,5.368818,dataverse.ird.fr,True,2019,France,Europe,,0.0,10.23708,data@ird.fr,35EE8D5A-742D-4E8C-8475-61ED17CAD563,https://data.ird.fr,,https://github.com/orgs/IQSS/projects/20,https://dataverse.ird.fr
35,data.sciencespo,Open for researchers and organizations associated with French universities to deposit data. Hosted by the Center for Socio-Political Data (Sciences Po and CNRS).,48.854027,2.328351,data.sciencespo.fr,True,2016,France,Europe,,0.0,10.2141,data@sciencespo.fr,36A4243C-C8B5-42BD-8F8E-AABB875FFFCF,,,https://github.com/orgs/IQSS/projects/12,https://data.sciencespo.fr
36,dataportal.ing.pan.pl,"IGS PAS Data Portal is an open data repository of Institute of Geological Sciences Polish Academy of Sciences. This portal is used to collect and share data, taking into account access to the data from external repositories. IGS PAS data are open and provided for free use for non-commercial purposes under applicable laws on data sharing public and publicly funded. In the case of using data by external entities, the data source must be cited following the guidelines (information on how to cite data is included in the Cite Dataset field).",52.22835613,20.99329514,dataportal.ing.pan.pl,True,2024,Poland,Europe,,0.0,10.60871,,3957580D-632B-4A20-84FE-7BBEA379AD2D,,,,https://dataportal.ing.pan.pl
37,DataRepositoriUM,"Institutional Data Repository of the University of Minho. Share, publish and manage research data from UMinho research units.",41.561246,-8.39628,datarepositorium.sdum.uminho.pt,,2019,Portugal,Europe,,1.0,10.34622,datarepositorium@usdb.uminho.pt,3A00D0AB-4A8E-4006-98CA-175C40DC096B,https://datarepositorium.uminho.pt/,,,https://datarepositorium.sdum.uminho.pt
38,DataSpace@HKUST,,22.336281,114.266721,dataspace.ust.hk,,2016,Hong Kong,Asia,,0.0,10.14711,,3C69DB8E-9BC8-4645-A708-549E1281B2F8,,,,https://dataspace.ust.hk
39,Dataverse e-cienciaDatos,"e-cienciaDatos is a multidisciplinary data repository that houses the scientific datasets of researchers from the public universities of the Community of Madrid and the UNED, members of the Consorcio Madroño, in order to give visibility to these data, to ensure its preservation and facilitate their access and reuse. e-cienciaDatos is structured as a system constituted by different communities dataverse that collects datasets of each of the individual universities. e-cienciaDatos es un repositorio de datos multidisciplinar que alberga datasets científicos de las univesidades públicas de la Comunidad de Madrid y la UNED - miembros del Consorcio Madroño- para dar visibilidad a estos datos, asegurar su preservación y facilitar tanto su acceso como reulitilación. e-cienciaDatos tiene una comunidad dataverse por universidad con los datasets de dicha universidad.",40.416775,-3.7492,edatos.consorciomadrono.es,True,2017,Spain,Europe,['openaire_data'],1.0,10.2195,eciencia@consorciomadrono.es,3CBFCE5B-C76C-4232-A6AF-1623C2A91A00,http://www.consorciomadrono.es/docs/eCienciaDatosTechnicalDescription.pdf,['https://doi.org/10.34894/CUGYWW'],,https://edatos.consorciomadrono.es
40,DataverseLV,"DataverseLV is a secure and sustainable repository for Latvian researchers to deposit, preserve, and share research data in line with Open Science and FAIR principles. The repository is developed, maintained, and curated by the Latvian Data Stewards Network - a collaborative group of specialists from Latvian research institutions who support researchers, advance research data management, and promote open science practices.",56.950876,24.110668,dv.dataverse.lv,,2025,Latvia,Europe,,0.0,10.71782,kristaps.oskalns@vpc.lv,3F236CF2-8614-44FB-B60C-7A9DAC5AF14C,,,,https://dv.dataverse.lv
41,DataverseNL,"DataverseNL is a data repository hosted by DANS. Researchers associated with the DataverseNL partners (Several universities, higher education and research institutes) are able to deposit data. ",52.08083,4.345672,dataverse.nl,True,2013,Netherlands,Europe,,1.0,␕,info@dataverse.nl,4104EE50-C9CE-44CE-802D-0FD325F9EC99,https://dans.knaw.nl/en/data-services/dataversenl/,['https://www.coretrustseal.org/wp-content/uploads/2018/04/Tilburg-University-Dataverse.pdf'],https://github.com/orgs/IQSS/projects/22,https://dataverse.nl
42,DataverseNO,"DataverseNO (https://dataverse.no/) is a national, generic repository for open research data from researchers from Norwegian research institutions. Some collections within DataverseNO also accept data from researchers from other institutions.",69.649208,18.955324,dataverse.no,True,2017,Norway,Europe,['dataverseno'],1.0,10.1871,support@dataverse.no,424854C4-0339-4A04-808E-F3AE39B840BD,https://site.uit.no/dataverseno/about/,['https://www.coretrustseal.org/wp-content/uploads/2020/03/DataverseNO.pdf'],https://github.com/orgs/IQSS/projects/14,https://dataverse.no
43,DataverseUA,"Development of the Open Data Repository ""DataverseUA"" for the National Academy of Sciences of Ukraine carried out within the framework of the scientific and technical project of the NAS of Ukraine ""Development and implementation of open science infrastructure in the NAS of Ukraine (OPENS)"" for 2023-2024. The Open Data Repository ""DataverseUA"" provides the storing of research data, including documents in digital form, which are obtained in scientific research activities are used as evidence in the research process, and are necessary to confirm conclusions and research results in scientific publications.",50.44528717,30.51258431,opendata.nas.gov.ua,True,2024,Ukraine,Europe,,0.0,,adminDataverseUA@bitp.kyiv.ua,443B2A49-F1C6-4FB2-9EB6-E074A0C4CEA0,,,,https://opendata.nas.gov.ua
44,DATICE,DATICE is a data service and archive for Icelandic social science research data,64.14042,-21.9493,dataverse.rhi.hi.is,True,2020,Iceland,Europe,,0.0,10.34881,felagsvisindastofnun@hi.is,48057197-5148-4D0E-A75A-99CD2CF2420C,,,,https://dataverse.rhi.hi.is
45,Datos para Resiliencia,"Datos para resiliencia is a platform developed by the Chilean Institute for Disaster Resilience (Itrend) that is designed to facilitate the use of data associated with disaster risk management (DRM) for researchers and developers of resilience solutions. It is an open-access tool used for finding, obtaining, sharing and preserving research-quality datasets.",-33.42381139,-70.6163207,datospararesiliencia.cl,True,2024,Chile,South America,,0.0,10.71578,victor.codocedo+dpr@itrend.cl,48D1173C-DA95-42BA-8CB8-36EC9EC130CD,,,,https://datospararesiliencia.cl
46,DeiC Dataverse,"DeiC Dataverse is the Danish National Repository for Research Data and is available to all universities in Denmark. It is operated by the Danish e-infrastructure Consortium, DeiC, in collaboration with the University of Copenhagen.",55.68061837,12.57224588,dataverse.deic.dk,,2024,Denmark,Europe,,0.0,10.60612,sekretariat@deic.dk,49A45ED8-A81C-4C21-A6D5-A889930B63D4,,,,https://dataverse.deic.dk
47,Domus Dados,Repositório de dados de pesquisa Unifesp,-23.53763,-46.788869,domusdados.unifesp.br,,2019,Brazil,South America,,0.0,,repositoriodedados@unifesp.br,ADB4D6A9-EB74-4D2D-937A-B12668C0EB65,,,,https://domusdados.unifesp.br
48,DR-NTU (Data),"The institutional open access research data repository for Nanyang Technological University (NTU). NTU researchers are encouraged to use DR-NTU (Data) to deposit, publish and archive their final research data in order to make their research data discoverable, accessible and reusable.",1.348668,103.683104,researchdata.ntu.edu.sg,True,2017,Singapore,Asia,,1.0,10.21979,library@ntu.edu.sg; yuyun.ishak@ntu.edu.sg; ONGHL@ntu.edu.sg,4AA22DDE-BD6B-4B13-854C-ED90F893C6AA,https://blogs.ntu.edu.sg/lib-datamanagement/about-dr-ntu-data/,,,https://researchdata.ntu.edu.sg
49,DUnAs,"DUnAs is the institutional research data repository of the University of Aveiro. This repository is intended to share, archive, preserve, cite, access, and explore research data produced in the university scientific research activities",40.63078158,-8.657462548,dunas.ua.pt,True,2022,Portugal,Europe,,0.0,10.48527,sbidm-dunas@ua.pt,4ADA8625-6C3B-4667-BDC7-12F2572BA1DA,,,,https://dunas.ua.pt
50,Edmond,Edmond is a research data repository for Max Planck researchers. It is the place to store completed datasets of research data with open access. Edmond serves the publication of research data from all disciplines and offers scientists the ability to create citable research objects.,48.137222,11.575556,edmond.mpdl.mpg.de,True,2022,Germany,Europe,,0.0,,edmond@mpdl.mpg.de,4C65AC6E-981D-4D0B-AB8D-99630CD1AC77,,,,https://edmond.mpdl.mpg.de
51,FGV Dataverse,,-22.94095725,-43.18013239,dataverse.fgv.br,True,2021,Brazil,South America,,0.0,,infra.acad@fgv.br; biblioteca.digital@fgv.br,4C94BEAE-6654-4AAD-A745-854074065181,,,,https://dataverse.fgv.br
52,Florida International University Research Data Portal,The FIU Research Data Portal serves as an inter-disciplinary data archive to support access and reuse of research data produced at FIU.,25.75389,-80.3945539,dataverse.fiu.edu,True,2020,USA,North America,,0.0,,rdm@fiu.edu,4DAD8610-848A-4A0F-8879-59FC200C2119,,,,https://dataverse.fiu.edu
53,Fudan University,Open for Fudan University affiliated researchers to deposit data.,31.298531,121.501446,dvn.fudan.edu.cn,,2014,China,Asia,,1.0,∅,dvn@fudan.edu.cn,534C7561-91B5-4337-BB32-12E0E3CE5691,,,,https://dvn.fudan.edu.cn
54,George Mason University Dataverse,"George Mason University Libraries Dataverse publishes, shares, and preserves data of enduring value produced by George Mason faculty, staff, and students.",38.8306,-77.3078,dataverse.orc.gmu.edu,True,2021,USA,North America,,0.0,10.13021,datahelp@gmu.edu; rmadridr@gmu.edu; btemelso@gmu.edu,5379B5BF-E80D-452C-B751-06DAF048F220,https://library.gmu.edu/dataverse,,,https://dataverse.orc.gmu.edu
55,Gustave Eiffel University Dataverse,Les données de recherche de l'Université Gustave Eiffel,48.84300627,2.587602512,data.univ-gustave-eiffel.fr,True,2017,France,Europe,,0.0,,,579774AC-BFBF-4A76-8A95-1DE68C9B10E0,,,,https://data.univ-gustave-eiffel.fr
56,Göttingen Research Online,"Göttingen Research Online is an institutional repository for the publication of research data at the Göttingen Campus. It is managed by the Göttingen eResearch Alliance, a joint group of the Göttingen State and University Library and Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen.",51.533713,9.932198,data.goettingen-research-online.de,True,2019,Germany,Europe,,1.0,10.25625,info@eresearch.uni-goettingen.de,53A9B64D-322E-46EC-BD3C-E2B687C60992,,,,https://data.goettingen-research-online.de
57,Harvard Dataverse,"Share, archive, and get credit for your data. Find and cite data across all research fields.",42.375646,-71.113212,dataverse.harvard.edu,True,2008,USA,North America,['IQSS'],1.0,10.791,support@dataverse.harvard.edu,57B6E0DD-B371-4AFE-A0C0-FB22621DDD73,,,https://github.com/orgs/IQSS/projects/19,https://dataverse.harvard.edu
58,HeiDATA,Open for Heidelberg University affiliated researchers to deposit data.,49.39875,8.672434,heidata.uni-heidelberg.de,True,2014,Germany,Europe,['heidata'],0.0,10.11588,data@uni-heidelberg.de,580AF7A2-462E-473F-B9D8-3AAA7244898D,,,,https://heidata.uni-heidelberg.de
59,IBICT,"The network Cariniana, cariniana.ibict.br,  is funded entirely by the Brazilian government and in particular by MCTI (Ministério da Ciência, Tecnologia e Inovação). It is a project for long-term preservation of scientific publications in Brazil.",-15.805842,-47.881369,repositoriopesquisas.ibict.br,True,2015,Brazil,South America,,0.0,10.5072,,5A6D25EE-6DAD-4AB9-89C3-6E3E552D5635,,,,https://repositoriopesquisas.ibict.br
60,ICRISAT,"International Crops Research Institute for the Semi-Arid Tropics.  Free open data repository of ICRISAT research data including Social science, Phenotypic, Genotypic, Spatial and Soil & Weather data which are linked with open publications.",17.385,78.4867,dataverse.icrisat.org,True,2012,India,Asia,['icrisat'],0.0,10.21421,dataverse.biu@gmail.com; a.rathore@cgiar.org,5F0C29CA-F98D-4610-9296-E2581C89EBE6,,,,https://dataverse.icrisat.org
61,ICWSM,Datasets from the International AAAI Conference on Web and Social Media (ICWSM).,37.432057,-122.175297,dataverse.mpi-sws.org,,2018,Germany,Europe,,0.0,10.5072,,5FF08B33-B993-4F9C-9F10-AB41C33DC54E,http://guides.dataverse.org/en/4.8.5/user,,,https://dataverse.mpi-sws.org
62,IDSC Dataverse,"The IDSC Dataverse is the Data Repository of the IDSC - International Data Service Center of IZA - Institute of Labor Economics. It was created as part of a project sponsored by the German Federal Ministry of Education and Research whose aim was to produce building blocks for research data trustees. The purpose of the IDSC Dataverse is to serve the needs of researchers and entities associated with IZA and make datasets available for replication, secondary research and teaching purposes. It adheres to the FAIR data principles.",50.7300529,7.109468,dataverse.iza.org,True,2024,Germany,Europe,,0.0,10.15185,idsc@iza.org,61F7254C-4D67-4A49-880C-3A0A385B41D9,https://idsc.iza.org,,,https://dataverse.iza.org
63,IFDC Dataverse,"Over the years, IFDC has conducted numerous research and demonstration trials across its global programs and projects. Looking to avoid poor documentation, loss of data, and to boost the efficiency of data usage and decision-making abilities, IFDC has implemented a center-wide initiative to collect all research and development data in standard accessible formats, collate all data and analyses, and to make it available through IFDC solutions. The Dataverse came to corroborate with the IFDC idea to implement the FAIR principles and make the data easily findable, accessible, interoperable, and reusable.",34.76992466,-87.6541439,dataverse.ifdc.org,True,2021,USA,North America,,0.0,,wpavan@ifdc.org,62569804-0F4B-4F0A-8EA1-205AEAC9D286,,,,https://dataverse.ifdc.org
